Diesel,Fecha
17.29,2017-01
17.28,2017-02
17.16,2017-03
17.1,2017-04
16.98,2017-05
16.8,2017-06
16.67,2017-07
16.72,2017-08
16.98,2017-09
17.17,2017-10
17.29,2017-11
17.44,2017-12
18.03,2018-01
18.78,2018-02
19.04,2018-03
19.12,2018-04
19.33,2018-05
19.62,2018-06
19.91,2018-07
20.34,2018-08
20.59,2018-09
20.87,2018-10
21.04,2018-11
20.93,2018-12
20.94,2019-01
21.81,2019-02
21.93,2019-03
21.74,2019-04
21.66,2019-05
21.46,2019-06
21.5,2019-07
21.42,2019-08
21.41,2019-09
21.36,2019-10
21.32,2019-11
21.44,2019-12
21.5,2020-01
21.3,2020-02
20.37,2020-03
19.21,2020-04
18.7,2020-05
19.23,2020-06
19.86,2020-07
19.91,2020-08
19.64,2020-09
19.28,2020-10
18.93,2020-11
19.24,2020-12
19.92,2021-01
20.71,2021-02
21.48,2021-03
21.64,2021-04
21.81,2021-05
21.8,2021-06
21.79,2021-07
21.78,2021-08
21.75,2021-09
21.67,2021-10
21.63,2021-11
21.9,2021-12
22.3,2022-01
22.47,2022-02
22.97,2022-03
23.38,2022-04
23.5,2022-05
23.57,2022-06
23.66,2022-07
23.74,2022-08
23.78,2022-09
23.85,2022-10
23.91,2022-11
23.83,2022-12
23.92,2023-01
23.8,2023-02
23.96,2023-03
23.95,2023-04
23.9,2023-05
23.93,2023-06
24.08,2023-07
24.29,2023-08
24.37,2023-09
24.44,2023-10
24.35,2023-11
24.34,2023-12
24.72,2024-01
25.23,2024-02
25.27,2024-03
25.49,2024-04
25.46,2024-05
25.67,2024-06
26.05,2024-07
25.98,2024-08
